team,number,name
惠田企業,95,張嘉禎
惠田企業,97,楊軸凱
惠田企業,99,吳澤森
KSC Handyfish,0,謝大偉
KSC Handyfish,1,翁志結
KSC Handyfish,2,江彥均
KSC Handyfish,3,余承翰
KSC Handyfish,4,方永輝
KSC Handyfish,7,關仲佑
KSC Handyfish,9,黃紹瑩
KSC Handyfish,10,張健志
KSC Handyfish,11,朱祐均
KSC Handyfish,13,陳鈿允
KSC Handyfish,14,吳銘揚
KSC Handyfish,15,蔡孟修
KSC Handyfish,16,王威智
KSC Handyfish,17,李育睿
KSC Handyfish,18,張朝欽
KSC Handyfish,19,郭建隆
KSC Handyfish,23,黃豪偉
KSC Handyfish,25,蘇育賢
KSC Handyfish,26,呂捷
KSC Handyfish,48,劉峻豪
KSC Handyfish,50,伍哲宏
KSC Handyfish,51,吳斌耀
KSC Handyfish,69,王威能
KSC Handyfish,77,李俊彥
KSC Handyfish,85,黃思騰
KSC Handyfish,88,潘威丞
KSC Handyfish,99,范譽
群英,0,林佳穎
群英,1,甘國嶔
群英,4,陳律翰
群英,5,張富盛
群英,6,黃邦宇
群英,7,黃佳進
群英,10,洋碩謙
群英,11,龍仕元
群英,13,顏嘉磬
群英,15,王均源
群英,18,戴文興
群英,21,黃永明
群英,28,黃士芫
群英,29,黃佳賢
群英,30,蔡佳汶
群英,32,黃同祿
群英,51,林瑞柏
群英,56,鄭兆良
群英,57,林翌群
群英,58,蔡博濬
群英,60,潘銘鴻
群英,66,黃鈺凱
群英,69,林弘庭
群英,87,梁峻豪
群英,89,李孟仲
